SUPPLIER,BILL NO.,DATE,COMPANY,CODE,BARCODE,ITEM NAME,PACK,BATCH,EXPIRY,QTY,F.QTY,HALFP,FTRATE,SRATE,MRP,DIS,EXCISE,VAT,ADNLVAT,AMOUNT,LOCALCENT,SCM1,SCM2,SCMPER,CUSTCODE,INVDAY,INVMONTH,INVYEAR,EXPDAY,EXPMONTH,EXPYEAR,SUPPCODE,INV.AMT,CGST,SGST,IGST,HSNCode,CGSTAmt,SGSTAmt,IGSTAmt,EXPDT,CUSTORDNO,PSRLNO,TCSPER,TCSAMT
DHIMAN MEDICOS (BINEWAL),SB-26-104738,06/07/2026,LEEF-HEALTHCARE,31197,GXD3,GEOMAX D3 MAX 1*10 CAP,10 CAP,LAL26084,01-02-28,1.00000000000000,0.00000000000000,0,63,63,195,3,,0,0,61.11,L,10,2,0,12506,06,07,2026,1,02,28,,1725.00,2.50,2.50,0.00,30045020,1.53000000,1.53000000,0.00000000,02/28,,1542453,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-104738,06/07/2026,LEEF-HEALTHCARE,31468,GMX4,GEOMAX 4G 1*10 CAP,10 CAP,LAL26042,01-01-28,1.00000000000000,0.00000000000000,0,51,51,160,3,,0,0,49.47,L,0,0,0,12506,06,07,2026,1,01,28,,1725.00,2.50,2.50,0.00,30049099,1.24000000,1.24000000,0.00000000,01/28,,1523832,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-104738,06/07/2026,ALKEM-FUTURA,23448,1RBIT,RABALKEM IT 1*10 CAP,10 CAP,RIC25010PK,01-11-27,1.00000000000000,0.00000000000000,0,39.18,40.18,249.5,3,,0,0,38.00,L,0,0,0,12506,06,07,2026,1,11,27,,1725.00,2.50,2.50,0.00,30049039,0.95000000,0.95000000,0.00000000,11/27,,1532062,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-104738,06/07/2026,UNIVENTIS - ULTIMA,40136,VTRN2X,VENTORAN 2X SPRAY 35G,35GM,VNT26001,01-03-28,1.00000000000000,0.00000000000000,0,68.76,64.38,180.4,3,,0,0,66.70,L,0,0,0,12506,06,07,2026,1,03,28,,1725.00,2.50,2.50,0.00,30049069,1.67000000,1.67000000,0.00000000,03/28,,1550838,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-104738,06/07/2026,CW-CUREWELL,31608,NRNF,NURONON FORTE TAB 1*10,B 1*10,TA-26191,01-06-27,5.00000000000000,0.00000000000000,0,3.35,3.27,28,3,,0,0,16.25,L,0,0,0,12506,06,07,2026,1,06,27,,1725.00,2.50,2.50,0.00,30041030,0.41000000,0.41000000,0.00000000,06/27,,1522475,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-104738,06/07/2026,UNIVENTIS - ULTIMA,30094,CHMRD,CHYMORIDE FORTE TAB 1*20,B 1*20,26S3GTA216,01-12-27,1.00000000000000,0.00000000000000,0,54.54,51.06,371.25,3,,0,0,52.90,L,0,0,0,12506,06,07,2026,1,12,27,,1725.00,2.50,2.50,0.00,30049065,1.32000000,1.32000000,0.00000000,12/27,,1550672,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-104738,06/07/2026,UNIVENTIS - ULTIMA,27734,HELDN,HEALODINE OINT 15GM,T 15GM,60178,01-03-28,1.00000000000000,0.00000000000000,0,21.34,19.99,99.22,3,,0,0,20.70,L,0,0,0,12506,06,07,2026,1,03,28,,1725.00,2.50,2.50,0.00,30049065,0.52000000,0.52000000,0.00000000,03/28,,1550718,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-104738,06/07/2026,ZY-ALIDAC FORTI,534,OCC,OCID 20MG 20`CAP,20`CAP,IA01872A,01-07-27,2.00000000000000,0.00000000000000,0,46.7,46.7,61.3,3,,0,0,90.60,L,9,1,0,12506,06,07,2026,1,07,27,,1725.00,2.50,2.50,0.00,30049034,2.26000000,2.26000000,0.00000000,07/27,,1524262,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-104738,06/07/2026,CP-MEGNA EVANEXT,380,HGL,HAEM-UP 100 GEMS,100 GEMS,JSJAB26022,01-10-28,1.00000000000000,0.00000000000000,0,310.86,310.86,408,3,,0,0,301.53,L,11,1,0,12506,06,07,2026,1,10,28,,1725.00,2.50,2.50,0.00,30045090,7.54000000,7.54000000,0.00000000,10/28,,1547550,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-104738,06/07/2026,CPL-SPECTRACARE-L,4066,ETS,EMESET 30ML SYP,30ML SYP,6A60445,01-02-28,1.00000000000000,0.00000000000000,0,30.71,30.71,40.31,3,,0,0,29.79,L,5,1,0,12506,06,07,2026,1,02,28,,1725.00,2.50,2.50,0.00,30049035,0.74000000,0.74000000,0.00000000,02/28,,1543624,0.00,0.00
