SUPPLIER,BILL NO.,DATE,COMPANY,CODE,BARCODE,ITEM NAME,PACK,BATCH,EXPIRY,QTY,F.QTY,HALFP,FTRATE,SRATE,MRP,DIS,EXCISE,VAT,ADNLVAT,AMOUNT,LOCALCENT,SCM1,SCM2,SCMPER,CUSTCODE,INVDAY,INVMONTH,INVYEAR,EXPDAY,EXPMONTH,EXPYEAR,SUPPCODE,INV.AMT,CGST,SGST,IGST,HSNCode,CGSTAmt,SGSTAmt,IGSTAmt,EXPDT,CUSTORDNO,PSRLNO,TCSPER,TCSAMT
DHIMAN MEDICOS (BINEWAL),SB-26-143179,10/08/2026,DR-TAURES (W),6039,VSR7,VOVERAN-SR 75MG 10`TAB,10`TAB,Z03SWBC5,01-11-27,1.00000000000000,0.00000000000000,0,94.48,94.48,124,3,,0,0,91.65,L,0,0,0,12506,10,08,2026,1,11,27,,1348.00,2.50,2.50,0.00,30049069,2.29000000,2.29000000,0.00000000,11/27,,1568698,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-143179,10/08/2026,CPL-VITALIS,31124,AMLN3,AMLOPRES-5MG 1*30 TAB,30 TAB,6SN0917,01-04-29,1.00000000000000,0.00000000000000,0,61.42,61.42,80.62,3,,0,0,59.58,L,0,0,0,12506,10,08,2026,1,04,29,,1348.00,2.50,2.50,0.00,30049072,1.49000000,1.49000000,0.00000000,04/29,,1566291,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-143179,10/08/2026,OTC,27313,2MGC,2 MUCH GOLD CAP 1*6,AP 1*6,202,01-06-28,1.00000000000000,0.00000000000000,0,75.06,74.04,103.13,3,,0,0,72.81,L,0,0,0,12506,10,08,2026,1,06,28,,1348.00,2.50,2.50,0.00,30049099,1.82000000,1.82000000,0.00000000,06/28,,1484854,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-143179,10/08/2026,LEEF-HEALTHCARE,24532,CTJK,CETJOINT K2 7 1*15 CAP,15 CAP,LAL26075,01-02-28,2.00000000000000,0.00000000000000,0,45,45,150,3,,0,0,87.30,L,0,0,0,12506,10,08,2026,1,02,28,,1348.00,2.50,2.50,0.00,30045020,2.18000000,2.18000000,0.00000000,02/28,,1562301,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-143179,10/08/2026,PIL (GEN),23424,STJR,SOTHREX JUNIOR SYP1*50ML,1*50ML,DAU26005,01-02-28,1.00000000000000,0.00000000000000,0,19.04,19.52,59.43,3,,0,0,18.47,L,0,0,0,12506,10,08,2026,1,02,28,,1348.00,2.50,2.50,0.00,30049099,0.46000000,0.46000000,0.00000000,02/28,,1543410,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-143179,10/08/2026,UNIVENTIS - ULTIMA,30340,ORVG,ORAVENT GEL 15GM,L 15GM,60195,01-04-28,1.00000000000000,0.00000000000000,0,21.34,19.97,73.73,3,,0,0,20.70,L,0,0,0,12506,10,08,2026,1,04,28,,1348.00,2.50,2.50,0.00,30049065,0.52000000,0.52000000,0.00000000,04/28,,1563763,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-143179,10/08/2026,UNIVENTIS - OPTIMA,36508,CTRVNT,CETROVENT 10 TAB 1*10,1*10TAB,GF455006,01-05-28,50.00000000000000,0.00000000000000,0,2.37,2.22,20.05,3,,0,0,114.94,L,0,0,0,12506,10,08,2026,1,05,28,,1348.00,2.50,2.50,0.00,30049031,2.87000000,2.87000000,0.00000000,05/28,,1406163,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-143179,10/08/2026,UNIVENTIS - ULTIMA,29973,XTLCV,XIOTIL CV 625 1*6 TAB,*6 TAB,C1606002,01-09-27,1.00000000000000,0.00000000000000,0,124.48,116.51,510.4,3,,0,0,120.75,L,0,0,0,12506,10,08,2026,1,09,27,,1348.00,2.50,2.50,0.00,30049065,3.02000000,3.02000000,0.00000000,09/27,,1571083,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-143179,10/08/2026,ZY-ZHL (CLOP),34278,CLOPG,CLOP-G 30GM CREAM,30GM,IB01121A,01-04-28,1.00000000000000,0.00000000000000,0,33.81,33.81,44.37,3,,0,0,32.80,L,0,0,0,12506,10,08,2026,1,04,28,,1348.00,2.50,2.50,0.00,30049087,0.82000000,0.82000000,0.00000000,04/28,,1572572,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-143179,10/08/2026,USV-CREST2,14690,EAV75,ECOSPRIN-AV 75/20MG 15 CAP,15 CAP,28028429,01-10-27,1.00000000000000,0.00000000000000,0,53.44,53.44,66.8,3,,0,0,51.84,L,0,0,0,12506,10,08,2026,1,10,27,,1348.00,2.50,2.50,0.00,30049062,1.30000000,1.30000000,0.00000000,10/27,,1564355,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-143179,10/08/2026,ZY-CHANAL (GEO),5087,DOTS,DEXONA  1*30 TAB,30 TAB,SB00275A,01-03-29,9.33000000000000,0.67000000000000,0,5.28,5.28,6.93,3,,0,0,47.78,L,14,1,0,12506,10,08,2026,1,03,29,,1348.00,2.50,2.50,0.00,30043913,1.19000000,1.19000000,0.00000000,03/29,,1552996,0.00,0.00
