SUPPLIER,BILL NO.,DATE,COMPANY,CODE,BARCODE,ITEM NAME,PACK,BATCH,EXPIRY,QTY,F.QTY,HALFP,FTRATE,SRATE,MRP,DIS,EXCISE,VAT,ADNLVAT,AMOUNT,LOCALCENT,SCM1,SCM2,SCMPER,CUSTCODE,INVDAY,INVMONTH,INVYEAR,EXPDAY,EXPMONTH,EXPYEAR,SUPPCODE,INV.AMT,CGST,SGST,IGST,HSNCode,CGSTAmt,SGSTAmt,IGSTAmt,EXPDT,CUSTORDNO,PSRLNO,TCSPER,TCSAMT
BRAR MEDICOSE (JHUGHIAN),SB-26-90166,22/06/2026,AMB-MAXIS,2367,ATHS,ALTHROCIN 60ML SYP,ML SYP,2608000146,01-03-28,2.00000000000000,0.00000000000000,0,55.71,55.71,73.12,3,,0,0,108.08,L,0,0,0,6611,22,06,2026,1,03,28,,21135.00,2.50,2.50,0.00,30042061,2.70000000,2.70000000,0.00000000,03/28,,1534793,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-90166,22/06/2026,MICRO-CR2CD,31630,TBGD2,TURBOVAS GOLD 20MG 10 CAP,10 CAP,TGDC26002,01-02-28,2.73000000000000,0.27000000000000,0,169.22,169.22,222.1,3,,0,0,448.11,L,10,1,0,6611,22,06,2026,1,02,28,,21135.00,2.50,2.50,0.00,30049099,11.20000000,11.20000000,0.00000000,02/28,,1530146,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-90166,22/06/2026,MICRO-GR,6630,AZD1,AZIDERM 10% 15GM CREAM,CREAM,209,01-06-28,1.00000000000000,0.00000000000000,0,252.8,252.8,331.8,3,,0,0,245.22,L,0,0,0,6611,22,06,2026,1,06,28,,21135.00,2.50,2.50,0.00,30049087,6.13000000,6.13000000,0.00000000,06/28,,1530093,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-90166,22/06/2026,MICRO-LAB,16721,APT6,ANGIPLAT 6.5MG 30 CAP,25 CAP,A652511,01-11-27,1.00000000000000,0.00000000000000,0,209.98,209.98,275.6,3,,0,0,203.68,L,10,1,0,6611,22,06,2026,1,11,27,,21135.00,2.50,2.50,0.00,30049099,5.09000000,5.09000000,0.00000000,11/27,,1515025,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-90166,22/06/2026,MICRO-LAB,16721,APT6,ANGIPLAT 6.5MG 30 CAP,25 CAP,A652511,01-11-27,1.00000000000000,0.00000000000000,0,209.98,209.98,275.6,3,,0,0,203.68,L,10,1,0,6611,22,06,2026,1,11,27,,21135.00,2.50,2.50,0.00,30049099,5.09000000,5.09000000,0.00000000,11/27,,1515025,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-90166,22/06/2026,MICRO-DTF3,35928,SITM50,SITAPRIDE-M 50/500MG 15 TAB,15 TAB,STNA080,01-11-27,2.00000000000000,0.00000000000000,0,115.66,115.66,151.8,3,,0,0,224.38,L,10,1,0,6611,22,06,2026,1,11,27,,21135.00,2.50,2.50,0.00,30049099,5.61000000,5.61000000,0.00000000,11/27,,1519160,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-90166,22/06/2026,INT-VECTOR,36935,ARNY5,ARNEY 50MG 1*14 TAB,14 TAB,N2601089,01-03-28,1.00000000000000,0.00000000000000,0,238.02,238.02,312.4,3,,0,0,230.88,L,0,0,0,6611,22,06,2026,1,03,28,,21135.00,2.50,2.50,0.00,30049099,5.77000000,5.77000000,0.00000000,03/28,,1535866,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-90166,22/06/2026,LPN-MIND NEXT,5836,STPP,STALOPAM-PLUS 1*15TAB,15TAB,M260309,01-02-28,1.00000000000000,0.00000000000000,0,284.42,284.42,373.3,3,,0,0,275.89,L,0,0,0,6611,22,06,2026,1,02,28,,21135.00,2.50,2.50,0.00,30049089,6.90000000,6.90000000,0.00000000,02/28,,1524085,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-90166,22/06/2026,INT-ASTERA,36824,MIG1,MAGRIUM 10 TAB,10 TAB,2T26045,01-07-27,1.00000000000000,0.00000000000000,0,246.1,246.1,323,3,,0,0,238.72,L,0,0,0,6611,22,06,2026,1,07,27,,21135.00,2.50,2.50,0.00,21069099,5.97000000,5.97000000,0.00000000,07/27,,1535847,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-90166,22/06/2026,HM-OTX,11596,RLMS,RUMALAYA LINIMENT 60ML,60ML,442600098,01-12-28,1.00000000000000,0.00000000000000,0,128,128,168,3,,0,0,124.16,L,0,0,0,6611,22,06,2026,1,12,28,,21135.00,2.50,2.50,0.00,30049011,3.10000000,3.10000000,0.00000000,12/28,,1503996,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-90166,22/06/2026,MD-MACPHER,16053,MCB1,MACBERY 100ML SYP,ML SYP,14260469A,01-12-27,1.00000000000000,0.00000000000000,0,94.06,94.06,123.46,3,,0,0,91.24,L,6,1,0,6611,22,06,2026,1,12,27,,21135.00,2.50,2.50,0.00,30049031,2.28000000,2.28000000,0.00000000,12/27,,1515218,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-90166,22/06/2026,MD-MACPHER,16053,MCB1,MACBERY 100ML SYP,ML SYP,14260470A,01-12-27,0.71000000000000,0.29000000000000,0,94.05,94.05,123.46,3,,0,0,64.78,L,0,0,0,6611,22,06,2026,1,12,27,,21135.00,2.50,2.50,0.00,30049031,1.62000000,1.62000000,0.00000000,12/27,,1518172,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-90166,22/06/2026,LABORATE (G),22364,LBCFT,LABOCOF COUGH TAB,1*10 TAB,PB0CTL018,01-11-27,10.00000000000000,0.00000000000000,0,8.85,8.7,85,3,,0,0,85.84,L,0,0,0,6611,22,06,2026,1,11,27,,21135.00,2.50,2.50,0.00,30049093,2.15000000,2.15000000,0.00000000,11/27,,1504719,0.00,0.00
